epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5534,1.64519,3.80161,1.40226,0.01484,0.58711,0.15692,0.0681,1.65394,4.0057,1.2377,0.00032867,0.00032867,0.00032867
2,43.0801,1.54764,2.67096,1.29303,0.00575,0.42915,0.14615,0.06239,1.48201,3.9282,1.35202,0.000664981,0.000664981,0.000664981
3,64.3004,1.49217,2.51921,1.31605,0.66667,0.02793,0.22805,0.11951,1.49066,3.49816,1.39264,0.000994501,0.000994501,0.000994501
4,85.6564,1.59213,2.48354,1.37481,0.1278,0.23642,0.21035,0.11048,1.56077,3.12431,1.44243,0.00131723,0.00131723,0.00131723
5,107.454,1.56071,2.39803,1.33747,0.36822,0.45009,0.36189,0.1997,1.59154,2.80143,1.47098,0.00137241,0.00137241,0.00137241
6,130.657,1.55492,2.18435,1.34991,0.599,0.38923,0.42826,0.20871,1.65318,2.83806,1.47541,0.00135826,0.00135826,0.00135826
7,152.706,1.55323,2.1616,1.36691,0.3947,0.55595,0.42434,0.22252,1.53453,2.45176,1.43094,0.00134412,0.00134412,0.00134412
8,173.911,1.48389,1.94447,1.29007,0.39926,0.57381,0.43499,0.2331,1.56287,2.75371,1.49455,0.00132997,0.00132997,0.00132997
9,194.89,1.51138,1.93469,1.32691,0.44324,0.53298,0.43465,0.24792,1.53759,2.37665,1.47979,0.00131582,0.00131582,0.00131582
10,216.614,1.4921,1.77944,1.33341,0.41762,0.65763,0.53843,0.28408,1.5966,2.31529,1.50567,0.00130168,0.00130168,0.00130168
11,238.489,1.45374,1.7289,1.29196,0.54342,0.53923,0.52635,0.2842,1.5405,1.92518,1.41243,0.00128753,0.00128753,0.00128753
12,261.692,1.44831,1.6042,1.30399,0.49011,0.52624,0.50614,0.28352,1.52487,2.02626,1.41966,0.00127338,0.00127338,0.00127338
13,285.272,1.44915,1.65243,1.27786,0.58281,0.50592,0.48636,0.27271,1.51313,2.09672,1.4089,0.00125923,0.00125923,0.00125923
14,310.369,1.47653,1.6334,1.31702,0.58568,0.57912,0.54815,0.31742,1.48471,2.11029,1.39705,0.00124509,0.00124509,0.00124509
15,336.468,1.42155,1.55099,1.27762,0.40461,0.62497,0.47375,0.26459,1.48935,1.90878,1.39688,0.00123094,0.00123094,0.00123094
16,362.303,1.37222,1.45643,1.24864,0.44073,0.54936,0.4475,0.24919,1.48803,2.07265,1.38429,0.00121679,0.00121679,0.00121679
17,387.673,1.40505,1.52753,1.24924,0.47265,0.56648,0.51411,0.29149,1.50272,1.78044,1.371,0.00120265,0.00120265,0.00120265
18,412.989,1.37353,1.45092,1.25773,0.52738,0.58554,0.54232,0.31084,1.52092,1.98816,1.39663,0.0011885,0.0011885,0.0011885
19,438.475,1.36751,1.46231,1.26246,0.46614,0.653,0.50204,0.29375,1.49124,1.98477,1.37227,0.00117435,0.00117435,0.00117435
20,463.182,1.3538,1.36723,1.24077,0.44814,0.61167,0.52255,0.30206,1.57976,1.7423,1.40149,0.00116021,0.00116021,0.00116021
21,489.51,1.40575,1.39067,1.2444,0.46571,0.63638,0.50673,0.28444,1.55902,1.83131,1.43016,0.00114606,0.00114606,0.00114606
22,518.271,1.40013,1.35915,1.25248,0.5342,0.64333,0.59259,0.35196,1.44108,1.60466,1.33656,0.00113191,0.00113191,0.00113191
23,544.481,1.34464,1.35577,1.24214,0.51704,0.61533,0.52801,0.28875,1.46423,1.62958,1.38385,0.00111776,0.00111776,0.00111776
24,571.871,1.31437,1.39895,1.22721,0.58568,0.55375,0.57854,0.33022,1.50118,1.57168,1.38617,0.00110362,0.00110362,0.00110362
25,599.271,1.32406,1.32534,1.21453,0.54118,0.60958,0.57251,0.32272,1.48563,1.51842,1.37063,0.00108947,0.00108947,0.00108947
26,626.741,1.30535,1.25157,1.21635,0.64068,0.62923,0.62332,0.34765,1.50904,1.49617,1.36348,0.00107532,0.00107532,0.00107532
27,654.678,1.34387,1.29826,1.22898,0.5966,0.66661,0.64032,0.36778,1.50869,1.49946,1.37696,0.00106118,0.00106118,0.00106118
28,682.57,1.33603,1.18752,1.2374,0.48573,0.57455,0.53129,0.30454,1.51929,1.76914,1.40889,0.00104703,0.00104703,0.00104703
29,710.067,1.34761,1.22558,1.24554,0.56144,0.59183,0.61295,0.35553,1.47121,1.57293,1.36046,0.00103288,0.00103288,0.00103288
30,737.014,1.29651,1.17499,1.17866,0.49417,0.63205,0.59597,0.33093,1.51274,1.71948,1.38686,0.00101873,0.00101873,0.00101873
31,762.935,1.35298,1.17558,1.22719,0.52242,0.61642,0.57802,0.3299,1.51203,1.57048,1.39476,0.00100459,0.00100459,0.00100459
32,789.717,1.27525,1.22666,1.20243,0.51275,0.62291,0.53404,0.29549,1.56546,1.49645,1.3997,0.00099044,0.00099044,0.00099044
33,815.622,1.29644,1.18633,1.19901,0.52894,0.6977,0.60636,0.34333,1.4743,1.43816,1.36965,0.000976293,0.000976293,0.000976293
34,841.838,1.23611,1.18022,1.20844,0.58093,0.63121,0.55726,0.31181,1.51702,1.45282,1.35796,0.000962146,0.000962146,0.000962146
35,868.642,1.24756,1.13135,1.17852,0.56653,0.57499,0.57237,0.32311,1.53523,1.54811,1.39343,0.000947999,0.000947999,0.000947999
36,899.574,1.27649,1.18597,1.2007,0.65574,0.58335,0.62092,0.34607,1.51125,1.47581,1.38245,0.000933851,0.000933851,0.000933851
37,931.878,1.31697,1.11855,1.20675,0.58121,0.65765,0.63457,0.35029,1.54299,1.42308,1.37551,0.000919704,0.000919704,0.000919704
38,964.297,1.24102,1.10078,1.18297,0.62772,0.59905,0.6081,0.3265,1.50055,1.46341,1.37319,0.000905557,0.000905557,0.000905557
39,996.31,1.24975,1.07171,1.17413,0.573,0.62355,0.63188,0.35452,1.49444,1.4161,1.35631,0.00089141,0.00089141,0.00089141
40,1030.33,1.23763,1.03031,1.1596,0.57871,0.57994,0.59016,0.33175,1.47063,1.56726,1.36788,0.000877263,0.000877263,0.000877263
41,1063.45,1.23954,1.0189,1.17063,0.62479,0.64521,0.64632,0.36325,1.47602,1.42009,1.36361,0.000863116,0.000863116,0.000863116
42,1097.2,1.21052,1.05433,1.15241,0.54945,0.63938,0.63818,0.36749,1.48127,1.49315,1.39916,0.000848969,0.000848969,0.000848969
43,1129.78,1.2061,1.07588,1.16476,0.55895,0.67614,0.60215,0.32459,1.53888,1.44146,1.4005,0.000834822,0.000834822,0.000834822
44,1163.67,1.20342,1.02509,1.14041,0.54775,0.72278,0.61867,0.3478,1.50193,1.4851,1.38768,0.000820675,0.000820675,0.000820675
45,1197.65,1.23535,1.02769,1.18902,0.48212,0.69439,0.55762,0.31759,1.49172,1.51568,1.38234,0.000806528,0.000806528,0.000806528
46,1233.13,1.19037,0.99146,1.14769,0.59002,0.66805,0.63775,0.36781,1.45653,1.34121,1.36091,0.00079238,0.00079238,0.00079238
47,1264.41,1.17998,0.98668,1.13625,0.65622,0.62554,0.64437,0.36389,1.50207,1.38706,1.36473,0.000778233,0.000778233,0.000778233
48,1291.79,1.20548,0.96032,1.13768,0.51238,0.64825,0.58038,0.33388,1.47505,1.48794,1.37076,0.000764086,0.000764086,0.000764086
49,1319.11,1.15963,0.96265,1.13831,0.55839,0.68529,0.5678,0.32589,1.44993,1.53699,1.35344,0.000749939,0.000749939,0.000749939
50,1347.15,1.19168,0.98353,1.13631,0.67197,0.57737,0.60756,0.34304,1.46003,1.41416,1.33886,0.000735792,0.000735792,0.000735792
51,1376.67,1.204,0.95369,1.15792,0.60662,0.54545,0.56645,0.31695,1.48801,1.50033,1.36272,0.000721645,0.000721645,0.000721645
52,1405.3,1.16067,0.94887,1.12803,0.59116,0.61387,0.5961,0.3415,1.48128,1.6221,1.35403,0.000707498,0.000707498,0.000707498
53,1432.71,1.16558,0.95901,1.1301,0.52088,0.64388,0.58932,0.33352,1.5153,1.59787,1.37437,0.000693351,0.000693351,0.000693351
54,1459.44,1.18535,0.92254,1.13894,0.56251,0.61434,0.59745,0.3412,1.50143,1.39149,1.3778,0.000679204,0.000679204,0.000679204
55,1486.84,1.18348,0.92131,1.15637,0.58878,0.58929,0.5764,0.32908,1.50757,1.42964,1.37324,0.000665057,0.000665057,0.000665057
56,1513.51,1.15864,0.91435,1.13824,0.54881,0.62624,0.57272,0.32064,1.47292,1.54084,1.36354,0.000650909,0.000650909,0.000650909
57,1541.17,1.16486,0.91529,1.12209,0.62068,0.5748,0.58162,0.31555,1.53614,1.46967,1.41957,0.000636762,0.000636762,0.000636762
58,1568.47,1.10919,0.86174,1.09534,0.62956,0.64224,0.65418,0.37501,1.50631,1.32166,1.39109,0.000622615,0.000622615,0.000622615
59,1596.26,1.12076,0.87133,1.09978,0.64155,0.66617,0.62217,0.35458,1.53934,1.32171,1.39908,0.000608468,0.000608468,0.000608468
60,1624.32,1.10274,0.87334,1.09124,0.59058,0.65419,0.64099,0.36055,1.47593,1.33478,1.35422,0.000594321,0.000594321,0.000594321
61,1651.95,1.09595,0.8423,1.08211,0.55592,0.64923,0.6,0.34148,1.50488,1.47003,1.37277,0.000580174,0.000580174,0.000580174
62,1679.48,1.07655,0.81058,1.08675,0.56748,0.64786,0.57911,0.33137,1.51756,1.40756,1.40322,0.000566027,0.000566027,0.000566027
63,1707.77,1.1596,0.85845,1.11626,0.54597,0.6701,0.56995,0.32604,1.44506,1.42931,1.35736,0.00055188,0.00055188,0.00055188
64,1735.51,1.12853,0.79807,1.08688,0.54678,0.66112,0.60827,0.33396,1.50676,1.49215,1.36121,0.000537733,0.000537733,0.000537733
65,1763.6,1.08057,0.79189,1.07946,0.53517,0.70966,0.61794,0.35669,1.47676,1.40948,1.36385,0.000523586,0.000523586,0.000523586
66,1790.27,1.08373,0.78481,1.08001,0.53405,0.73659,0.60637,0.34654,1.46941,1.48641,1.35525,0.000509438,0.000509438,0.000509438
67,1817.38,1.04079,0.76907,1.08001,0.56147,0.60002,0.59615,0.33893,1.47679,1.54401,1.36042,0.000495291,0.000495291,0.000495291
68,1846.85,1.10224,0.78421,1.07659,0.6412,0.63236,0.64183,0.36738,1.4711,1.41961,1.35981,0.000481144,0.000481144,0.000481144
69,1874.82,1.03055,0.75258,1.06926,0.59139,0.65261,0.61076,0.35241,1.48965,1.41265,1.36372,0.000466997,0.000466997,0.000466997
70,1901.62,1.01033,0.74831,1.0598,0.60396,0.68411,0.62834,0.36346,1.48463,1.34182,1.37159,0.00045285,0.00045285,0.00045285
71,1929.06,1.05284,0.74748,1.09346,0.54582,0.70107,0.62654,0.36064,1.45596,1.3635,1.3651,0.000438703,0.000438703,0.000438703
