epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.041,1.78954,2.80767,1.74974,0.412,0.30534,0.2789,0.11274,2.08587,2.71104,1.89828,0.000549692,0.000549692,0.000549692
2,361.684,1.85907,1.92704,1.77523,0.1281,0.3833,0.07141,0.02858,1.96568,23.0253,1.9666,0.00109168,0.00109168,0.00109168
3,560.362,1.89543,1.92294,1.83576,0.27789,0.39525,0.23303,0.09684,2.13184,24.3594,2.22499,0.00161991,0.00161991,0.00161991
4,781.977,1.85579,1.88669,1.79337,0.49034,0.5274,0.45693,0.20127,1.91442,1.89994,1.81963,0.00160511,0.00160511,0.00160511
5,999.536,1.84412,1.76873,1.76705,0.71512,0.29903,0.37648,0.14436,1.93992,2.39798,1.90771,0.00158448,0.00158448,0.00158448
6,1201.76,1.80558,1.74756,1.76288,0.54829,0.52567,0.54212,0.23445,1.82809,1.60928,1.7894,0.00156385,0.00156385,0.00156385
7,1402.49,1.76833,1.64842,1.72927,0.49573,0.51257,0.48688,0.2192,1.8198,1.6862,1.77194,0.00154323,0.00154323,0.00154323
8,1606.28,1.72937,1.58025,1.68285,0.52698,0.58373,0.57097,0.26094,1.79002,1.45281,1.72568,0.0015226,0.0015226,0.0015226
9,1811.32,1.71195,1.54418,1.68207,0.56117,0.56687,0.53851,0.2433,1.7761,1.51122,1.71621,0.00150197,0.00150197,0.00150197
10,2024.69,1.70162,1.50351,1.66042,0.73318,0.55929,0.64009,0.28495,1.76871,1.38666,1.71466,0.00148134,0.00148134,0.00148134
11,2263.12,1.66608,1.42943,1.61933,0.57893,0.63564,0.61522,0.28623,1.76673,1.37307,1.68609,0.00146071,0.00146071,0.00146071
12,2499.15,1.68629,1.44413,1.65102,0.66814,0.58689,0.64002,0.29563,1.76718,1.3022,1.67851,0.00144008,0.00144008,0.00144008
13,2724.1,1.66634,1.42061,1.61794,0.58887,0.61145,0.58052,0.25342,1.83606,1.59133,1.76449,0.00141945,0.00141945,0.00141945
14,2974.39,1.62129,1.35531,1.59696,0.57767,0.56297,0.60225,0.2702,1.8375,1.39715,1.73417,0.00139882,0.00139882,0.00139882
15,3240.09,1.61481,1.31407,1.58602,0.68162,0.6455,0.68131,0.30203,1.83907,1.21466,1.73858,0.00137819,0.00137819,0.00137819
16,3521.71,1.61783,1.3083,1.59181,0.64703,0.6771,0.65608,0.30088,1.74661,1.32261,1.69619,0.00135756,0.00135756,0.00135756
17,3791.15,1.60661,1.26527,1.56308,0.60474,0.62042,0.59487,0.26932,1.80611,1.32087,1.73615,0.00133693,0.00133693,0.00133693
18,4062.01,1.5953,1.23889,1.55345,0.63023,0.66453,0.6624,0.29255,1.78827,1.22371,1.7197,0.0013163,0.0013163,0.0013163
19,4335.49,1.55357,1.20063,1.5284,0.64399,0.61262,0.60946,0.28257,1.75467,1.30002,1.71906,0.00129568,0.00129568,0.00129568
20,4600.87,1.57591,1.20448,1.55937,0.58863,0.64787,0.62864,0.28424,1.7944,1.1884,1.70641,0.00127505,0.00127505,0.00127505
21,4850.94,1.5454,1.19404,1.53877,0.6511,0.68386,0.67594,0.31791,1.71844,1.12154,1.68274,0.00125442,0.00125442,0.00125442
